team,plus_minus,net_rating,pie
LOS ANGELES LAKERS,7.4,7.1,54.9
LOS ANGELES CLIPPERS,6.5,6.4,53.1
OKLAHOMA CITY THUNDER,2.5,2.5,52.5
DENVER NUGGETS,3,3.1,52
HOUSTON ROCKETS,3.8,3.4,49.7
DALLAS MAVERICKS,6,5.8,52.6
UTAH JAZZ,3.2,3.3,51.8
MEMPHIS GRIZZLIES,-1.1,-1,50.8
SAN ANTONIO SPURS,-1.8,-1.5,49.8
