season,away_team,home_team,plus_minus_diff,netrtg_diff,pie_diff
2020,TORONTO RAPTORS,PHILADELPHIA 76ERS,-4.3,-4.3,-0.6
2020,MIAMI HEAT,OKLAHOMA CITY THUNDER,-0.7,-0.5,-0.1
2020,LOS ANGELES CLIPPERS,DENVER NUGGETS,-3.5,-3.3,-1.1
2020,WASHINGTON WIZARDS,BOSTON CELTICS,10.2,10,5.3
2020,PORTLAND TRAIL BLAZERS,BROOKLYN NETS,1,0.9,1.7
2020,SACRAMENTO KINGS,LOS ANGELES LAKERS,9.3,8.8,7.1
2020,MILWAUKEE BUCKS,MEMPHIS GRIZZLIES,-12.4,-11.7,-6
2020,NEW ORLEANS PELICANS,ORLANDO MAGIC,-0.2,-0.2,0.1
2020,DALLAS MAVERICKS,PHOENIX SUNS,-7.4,-6.8,-2.2
2020,SAN ANTONIO SPURS,UTAH JAZZ,5,4.8,2
2020,PHILADELPHIA 76ERS,HOUSTON ROCKETS,1.6,1.3,-2.8
2020,MIAMI HEAT,INDIANA PACERS,-1.3,-1,-0.7
2020,OKLAHOMA CITY THUNDER,LOS ANGELES CLIPPERS,4,3.9,0.6
2020,DENVER NUGGETS,TORONTO RAPTORS,3.5,3.3,1.1
