WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
0.549,48.5,101.3,37.1,79.4,46.8,5.3,15.3,34.9,21.6,28.3,76.4,11.1,29.7,40.8,22.1,15.8,8.1,5.2,4.9,24.4,0,0.9,105.9,105.1,0.8,59.4,1.4,16.9,30.5,67.1,49.4,16.5,50.1,55.1,94.61,50.5
0.5,48.5,95.4,35.8,79.8,44.8,6.6,17.4,37.7,17.2,22.5,76.7,11,29.7,40.7,21.1,12.9,5.5,4.4,3.7,20,20.2,-1,105.9,106.8,-0.8,59,1.64,17,30.3,68.4,49.5,14.3,48.9,53.2,89.1,49.5
0.378,48.4,99.1,37.2,80.8,46,6.4,17.7,36.2,18.4,23.3,79.1,11.3,28.3,39.6,20.7,15.5,7.7,3.7,4.2,22,19.9,-2.9,105.9,108.9,-3,55.6,1.34,16.2,31.2,67.6,49.2,16.5,49.9,54.4,92.92,47.4
0.318,48.4,105.8,40,89.3,44.7,9.6,28.4,33.7,16.3,23.5,69.4,12,34.5,46.5,22.1,14.3,7.6,4.7,5,22.2,19.8,-6.5,105.9,112.4,-6.5,55.2,1.54,16,30,74.2,51.3,14.3,50.1,53.1,99.11,46.1
0.354,48.5,102.9,37.3,85.9,43.4,12.1,34.3,35.2,16.2,21.6,74.8,11,31.8,42.8,23.8,14.6,6.6,4.1,5,18.8,20.6,-6.8,105.9,112.8,-7,63.9,1.63,17.7,28,70.6,48.6,15,50.4,53.9,96.24,45.5
0.585,48.2,105.7,39.2,89.2,43.9,8.7,26.1,33.5,18.5,23.5,78.8,11.6,33.3,44.9,24.2,13.7,9.2,4.2,5.5,21.9,21,3.2,105.8,102.5,3.3,61.6,1.76,17.4,29,70.7,49.5,13.8,48.8,53.1,99.43,52
0.476,48.5,94.2,36.4,80,45.4,4.6,13.2,34.9,16.9,22.5,75.1,11.6,29.9,41.4,20.6,11.9,6,4.6,4.2,20.9,19.7,-0.5,105.8,106.4,-0.6,56.7,1.74,16.7,31.1,71.1,50.8,13.3,48.3,52.4,88.02,49.6
0.338,48.2,106.8,39.6,88.6,44.7,12.2,35.1,34.8,15.5,20.5,75.5,10.5,31.4,41.9,23.2,15.5,10,4.1,5.9,21.8,19.2,-3.1,105.8,108.9,-3.1,58.7,1.5,16.9,26.7,71.9,48.1,15.3,51.5,54.7,100.46,46.6
0.671,48.2,96.5,36.1,77.8,46.4,4,10.4,38.5,20.3,26.2,77.3,11.4,29.6,41,24.9,14.9,7.7,5.4,5,24.5,2.8,4.5,105.7,101.1,4.6,68.9,1.67,19.1,32.9,69.8,51.6,16.3,49,54,90.84,55.1
0.573,48.5,96.5,36.4,79.5,45.8,6,17.4,34.6,17.7,23.5,75.2,10.7,31.1,41.8,18.9,13.2,7.4,5.6,4.3,20.9,20,2.3,105.7,103.4,2.4,51.9,1.43,15.4,29.4,70.1,50,14.4,49.6,53.7,90.3,52.2
