WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
0.5,48,98.4,37.8,82.5,45.8,6.7,19.6,34.3,16,21.2,75.7,10.9,30.8,41.7,22.5,14.1,6.5,5.5,4.4,18.7,19.6,-0.2,105.2,105.2,-0.1,59.6,1.6,17.4,29.4,68.7,49.3,15,49.9,53.6,93.61,50.2
0.415,48.2,99.3,36.7,82.4,44.5,6.2,17.2,36.3,19.7,25.2,78,11.9,28.9,40.7,22,14.1,7.4,3.8,4.6,24.2,22.5,-1.1,105.2,106.3,-1.1,59.9,1.56,16.8,31,69.9,49.6,14.9,48.3,53.1,93.89,48.5
0.354,48.2,101,38.8,86.9,44.7,6.2,19.3,32.1,17.3,25.7,67,14.6,30.8,45.4,20.9,14.5,8.4,4.8,4.9,20.3,20.7,-3.7,105.2,109,-3.7,53.9,1.44,15.6,34.7,69.3,51.1,15.2,48.2,51.4,95.57,46.4
0.268,48.2,99.1,38.3,82.4,46.5,4.2,13.3,31.6,18.2,24.1,75.5,11.7,28.6,40.3,21.9,14.7,7.1,4.3,5.6,22,19.8,-6.3,105.2,111.7,-6.5,57.1,1.49,16.8,31.4,68.5,49.5,15.6,49.1,53.3,93.78,45.9
0.573,48.3,101.2,38.2,83.4,45.8,8,19.9,40.3,16.8,21.3,79,10.8,34.2,45,22.5,15.1,6.9,4.2,4.9,21.4,19.2,0.9,105.1,104.2,0.9,58.9,1.49,17.1,28.5,71.2,50.6,15.7,50.6,54.5,95.64,50.2
0.488,48.2,96.6,37.3,81.1,46,3.7,11.6,31.7,18.4,26.1,70.6,13,28.9,41.9,20.4,14.3,8.7,4.9,5.1,19.8,20.8,0.4,105.1,104.7,0.5,54.7,1.43,15.9,35.1,68.8,51.5,15.6,48.2,52.2,91.56,50
0.537,48.1,95,36.2,78.4,46.2,6.1,17.4,35.2,16.4,21.1,77.9,9.3,30,39.3,22,13.6,6.1,4.2,4.2,19,18.5,-0.8,105.1,105.8,-0.7,60.7,1.61,17.7,27.4,71,49.4,15.1,50.1,54.2,90.22,49.3
0.439,48.2,104,37.8,85.3,44.4,9.2,24.6,37.4,19.1,24.9,76.8,11,32.1,43.1,22.7,15.1,7.6,5,5.1,23.4,21.7,-1.4,105.1,106.3,-1.2,60.1,1.51,16.9,27.8,70.1,48.7,15.2,49.8,54,98.64,48.5
0.402,48.3,101.3,35.9,79.7,45,6.5,18.5,35,23.1,30.2,76.5,9.7,29.2,38.9,20.3,14.6,8.2,3.2,4.9,21.9,24.3,-1.8,105.1,106.7,-1.6,56.6,1.39,15.8,26.7,69.2,47.7,15.1,49.1,54.5,95.83,48.5
0.439,48.2,104.4,38.4,85.9,44.7,8.6,23.9,35.8,19.1,26.3,72.6,12.3,33.1,45.4,22.4,15.9,7.5,5.6,5.6,23,21.7,-2.1,105.1,107.3,-2.2,58.4,1.41,16.4,31,70.3,50.5,16,49.7,53.6,98.95,48.1
0.341,48.4,100.5,36.9,82.5,44.7,6,18,33.3,20.7,27.3,75.9,12.1,32.4,44.5,18.9,15.2,7.2,3.9,5.6,22.5,23.1,-2.9,105.1,107.8,-2.7,51.1,1.24,14.6,31.6,72.5,51.8,15.9,48.4,53.2,95.04,47.3
0.366,48.2,97.2,36.1,80.2,45,4,11.3,35.1,21,27.2,77.2,12,29.3,41.3,21,13.8,6.5,3.5,4.5,21.9,0.1,-3,105.1,108.1,-3,58,1.52,16.4,32.2,68.7,50.3,14.9,47.5,52.7,92.14,47.8
0.707,48.4,96.2,35.2,76.4,46.1,5.4,13.3,40.7,20.4,28.5,71.5,11,33.1,44.1,21.7,14,6.9,7,5.2,18.9,0,7.8,105,96.6,8.3,61.7,1.55,17.2,29.7,70.3,51.1,15.2,49.6,54.1,90.87,57.3
0.488,48.7,97.7,36.1,80.4,44.9,8.5,23.9,35.5,17.1,23,74.4,10.7,32.5,43.2,19,14.9,7.7,5.2,4.7,20.2,19.9,1.8,105,103.2,1.8,52.6,1.27,15.1,30.3,73.1,51.7,16.1,50.1,54,91.66,50.8
0.415,48.7,97.2,36.3,81.5,44.6,7,20.3,34.3,17.6,22.3,78.8,10.6,29.6,40.2,21.5,13.7,7.3,4.8,4.7,22.4,20.1,-1.5,105,106.4,-1.4,59.2,1.57,16.9,29.6,68.8,49,14.8,48.8,53.2,91.26,48.4
0.537,48.9,100.7,38.7,84.4,45.9,7.9,20.8,38,15.3,20.9,73.1,10.8,31.4,42.2,23.3,14.7,8.1,4.6,3.9,20.4,19.5,1.3,104.9,103.6,1.3,60.1,1.59,17.6,28.6,71.9,49.8,15.3,50.6,53.8,94.18,50.4
0.463,48.4,101,37.3,81.6,45.8,9.4,25.8,36.3,17,21.7,78.1,8.7,31.3,40,24.9,15.3,8.3,4,4.3,19.2,20,-0.5,104.9,105.7,-0.7,66.7,1.63,18.8,25.6,71.1,48.5,15.9,51.5,55.4,95.41,50.2
0.488,48.4,97.8,36.3,80.1,45.3,6.2,16.3,38,19,25.8,73.8,11.3,29.9,41.2,21.6,14.6,7.3,3.3,5,23.2,23.6,-1,104.9,105.9,-1,59.4,1.48,16.8,30.9,71.3,50.7,15.7,49.2,53.5,92.45,48.6
0.402,48.4,101.9,37.7,85.4,44.2,8,23.7,33.8,18.5,24.1,76.6,11.5,33.1,44.6,22.7,14.7,7.4,4.8,6.3,21,20.9,-3.1,104.9,108.2,-3.3,60.1,1.55,16.9,30.4,73.2,51.3,15.1,48.9,53.1,96.34,47.9
0.293,48.3,97.8,36.4,82.5,44.1,6.6,18.8,35.3,18.3,23.9,76.9,11.9,29.8,41.7,20.4,14.2,6.2,3.9,5.9,21.8,20,-4.9,104.9,109.9,-5,56.1,1.44,15.9,32.1,71.7,51.1,15.2,48.1,52.6,92.76,45.3
0.671,48.5,98.3,37.8,82.5,45.8,5.2,15.2,33.9,17.6,22.8,77.3,10.4,32.1,42.6,21.7,13.3,8.5,4.2,5.2,19.1,20.3,3.2,104.8,101.2,3.5,57.4,1.62,16.9,28.8,71.6,50.3,14.2,48.9,53.1,92.82,53
0.622,48.3,98.1,38.7,83,46.6,3.6,9.8,36.8,17.1,22.3,77,11.7,31.9,43.6,25.2,13.7,6.7,5.3,4.9,20.8,0,2.1,104.8,102.5,2.2,65.3,1.84,19,31,69.5,50.8,14.6,48.8,52.8,93.08,52.9
0.549,48.4,96.4,35.8,81.7,43.9,6.7,18.8,35.8,18,25.1,71.7,13.3,31.3,44.6,20,14,7.1,5.2,4.7,20.9,20.3,-0.4,104.8,105.4,-0.6,55.8,1.43,15.7,33.4,71.5,51.8,15.2,48,52,91.06,49
0.39,48.4,98.6,36.8,80.4,45.7,6.3,18.5,33.8,18.9,26.7,70.7,11.6,30.5,42.1,22.1,16.4,7.1,4.9,4.9,21.1,22.1,-3.1,104.8,108,-3.2,60.1,1.35,16.9,33,69.2,51.1,17.4,49.6,53.5,93.35,48.3
0.366,48.2,102.7,38.5,85.9,44.8,8.6,23.8,36,17.3,22.2,77.6,9.5,33.1,42.6,22.2,13.4,7.7,4.2,5.2,20.9,19.9,-3.8,104.8,108.4,-3.7,57.7,1.65,16.8,25.2,74.8,49.3,13.7,49.8,53.7,97.64,47.2
0.329,48.3,97.7,37.6,81.8,46,5.8,16.8,34.3,16.7,22,75.6,11.5,29.5,41,21,14.5,8.1,5.4,4,20.5,18.7,-3.9,104.8,108.9,-4.1,55.8,1.45,16.4,31,69.3,49.8,15.6,49.6,53.4,92.72,47.8
0.317,48.5,97.2,35.9,79.2,45.4,5.2,14.1,36.7,20.2,26.9,75,13,27.2,40.3,19.8,15.7,7.2,4.8,5.1,25,22.6,-4.8,104.8,110.1,-5.3,55.2,1.27,15.5,33.4,66.7,49.6,16.9,48.6,53.4,91.75,46.2
0.634,48.4,97,35.4,79.6,44.5,8.6,23.1,37.2,17.5,23.2,75.3,10.7,32.6,43.3,20.8,14.2,7.1,4.1,4.3,20.9,19.9,4.9,104.7,99.7,4.9,58.6,1.47,16.5,28.7,72.5,50.8,15.3,49.9,54,91.7,52.9
0.61,48.2,95.4,36.6,78.3,46.8,4.5,12.9,34.9,17.6,23.2,76.2,11.7,30.3,42,23.9,15.3,8.2,5.1,4,21.3,0.1,4.2,104.7,100.5,4.2,65.3,1.56,18.6,33.3,70,52.2,16.8,49.7,53.9,90.53,54.4
0.598,48.2,99.5,37,80.7,45.9,3.9,11.5,34,21.5,28.2,76.3,11.8,30.2,42,23.9,14.9,9.1,6,5.6,22.9,0.1,2,104.7,102.6,2.2,64.5,1.6,18,31.3,67.8,49.7,15.7,48.3,53.5,94.68,53.1
0.488,48.1,101.4,39,85.9,45.3,6.3,16.2,39.1,17.2,21.4,80.4,11.4,29.8,41.2,22.1,13.7,7.2,5.1,5.1,21.6,3.8,-0.6,104.7,105.2,-0.5,56.7,1.61,16.7,28.1,64.7,46.6,14.2,49,53.2,96.64,49.3
0.5,48.7,101.1,38.8,84,46.2,7.4,19.9,37.2,16.1,20.4,79.3,9.4,32.6,41.9,23.2,14,7.9,5.5,4.1,20.7,18.9,-0.6,104.7,105.4,-0.6,59.9,1.67,17.7,25.9,69.8,48.4,14.4,50.6,54.4,95.09,50.2
0.463,48.5,99.4,36.6,79.8,45.8,4.6,12.6,36.4,21.6,28.4,76,10.6,29.6,40.2,20.2,14.1,7.9,4.9,4.7,20.9,23.1,-2,104.7,106.5,-1.8,55.1,1.43,15.8,28.5,67.6,48.1,14.9,48.7,53.8,93.91,49.2
0.415,48.5,104.3,39.1,87,45,9.4,26.8,35,16.7,22.3,75,8.6,35.1,43.7,22.8,12.9,7.8,5.5,4.2,18.2,19.3,-2.1,104.7,106.8,-2.1,58.2,1.77,17.1,22.8,72.8,48,12.9,50.4,53.9,98.56,49.3
0.512,48.4,99.1,36.8,83.6,44,6.1,18.5,33.1,19.3,24.7,78.3,11.2,30.5,41.6,20.7,13.3,8.8,4.3,5.7,21.7,21.1,-2.2,104.7,107.1,-2.4,56.2,1.56,16,29.8,70.9,49.5,14,47.7,52.4,93.95,48.3
0.402,48.2,97.9,36.2,82.3,44,10.7,30.2,35.5,14.8,18.5,80.1,7.9,30.7,38.6,20.8,11.9,7.5,3.7,3.4,19.1,19.4,-2.9,104.7,107.7,-3,57.4,1.75,16.8,21.6,73.3,46.5,12.7,50.5,54.1,93.11,47.9
0.305,48.1,103.4,38.8,85.9,45.2,10.3,29.3,35.1,15.5,20.5,75.7,8.8,32.8,41.6,23.4,14.5,7.6,4.9,4.9,19.3,19,-4.8,104.7,109.4,-4.7,60.4,1.61,17.5,24.8,71.4,48,14.7,51.2,54.5,98.58,47.2
0.585,48.4,102.8,38.6,84.4,45.8,9.9,28.4,35,15.6,20,78.3,8.3,33.8,42.1,25.6,15,9.1,5.9,5,19.1,18.3,3.6,104.6,100.8,3.9,66.3,1.71,19,23.4,69.8,47.4,15.2,51.6,55.2,97.63,52.8
0.5,48.2,98,36.2,81.1,44.7,4.9,14,35,20.7,26.7,77.5,11.7,30.5,42.2,22.8,13.5,6.8,4.7,5,20.3,0,1.1,104.6,103.5,1.1,63,1.69,17.5,30.8,69,49.9,14.4,47.7,52.8,93.2,51
0.598,48.4,92.2,33.5,74.7,44.8,7.2,19.2,37.4,18,25.3,71.1,10.2,29,39.2,19.3,13.8,7.3,5.4,5.6,21.4,22.8,3.7,104.5,100.4,4.1,57.8,1.4,16.1,29.8,69,49.6,15.7,49.6,53.7,87.39,51.6
0.621,48.7,97.3,36.8,80.6,45.7,5.5,16.8,32.6,18.2,24.1,75.6,12.1,34.1,46.2,22.5,15.1,5.9,5.3,4.6,16.8,20.2,1.4,104.5,103.2,1.3,61.1,1.49,17.3,32.7,71.9,53.2,16.2,49.1,53.4,91.72,52.4
0.47,48.1,99,37.9,85.6,44.3,6.6,19.2,34.5,16.6,21.4,77.4,12.4,30,42.5,23.5,14.1,8.3,5.1,4.5,19.3,19.4,0.3,104.5,104.1,0.4,62,1.67,17.6,31.4,67.5,49,14.8,48.1,52.1,94.68,50.3
0.5,48.2,104.1,39.5,85.8,46,8.6,24.2,35.8,16.5,22.5,73,9.1,32.8,41.8,24.5,14.5,8.6,3.9,4.3,20.8,20.1,-0.5,104.5,105.1,-0.5,61.9,1.69,18.1,25,73.7,49,14.5,51.1,54.4,99.16,49.7
0.524,48.5,103.2,38.1,84.4,45.1,8.9,26.1,34.1,18.1,24.9,72.8,10.3,34.1,44.3,23.6,15.8,8.2,4.8,5.2,18.2,21.6,-0.9,104.5,105.2,-0.7,62.1,1.5,17.4,28.2,71.7,50.2,16,50.4,54.1,97.76,50.6
0.402,48.5,97.3,36.3,80.5,45.1,5.4,15.1,35.6,19.3,25.1,76.7,11.8,29.2,41,20.3,14.7,7.7,3.2,4.7,23.7,0.1,-2.4,104.5,107.2,-2.7,55.9,1.38,15.9,31.6,68.6,49.8,15.8,48.5,53.1,92.12,47.5
0.402,48.4,97.5,36.7,81.9,44.8,8.2,23.2,35.3,15.9,20.5,77.6,10.7,30.2,40.8,21.8,14.7,6.6,4.3,4.4,18.5,18.7,-3.2,104.5,107.9,-3.4,59.3,1.48,17,29.4,70.2,49.5,15.7,49.8,53.6,92.46,46.8
0.354,48.4,101.3,36.7,80.7,45.5,5.6,16.5,34.1,22.3,29.3,76.2,10.9,33.3,44.2,20.3,16.3,6.7,4,6.2,20.7,23.9,-3.7,104.5,108.2,-3.7,55.4,1.25,15.5,31.3,71.5,51.9,16.8,49,54.2,96.16,48.5
0.329,48.2,94.1,36,80.4,44.8,6.5,18,36.3,15.5,20,77.6,12,29.6,41.6,21,14.5,6.3,5.4,6,20.4,18.7,-3.9,104.5,108.9,-4.4,58.2,1.44,16.7,33.2,70.5,51.4,16.2,48.9,52.8,89.5,46.4
0.329,48.2,94,35.9,80.5,44.5,4.6,14.5,31.4,17.7,24.4,72.8,12.8,27.3,40.2,19.4,13.4,7.3,3.8,4.9,22.2,20.8,-5.1,104.5,110.3,-5.9,54.1,1.45,15.5,34.6,69.7,51,14.9,47.4,51.5,89.46,44.8
0.268,48.5,104.9,39.8,87.9,45.3,9.1,25.9,35.1,16.2,20.7,78.3,8.8,34.1,42.9,21.9,14.1,7.4,4.3,5.8,20.3,18.7,-8.4,104.5,112.8,-8.3,55,1.55,16.3,24.2,72.7,48.3,14.1,50.5,54.1,99.3,45.3
0.72,48.4,101.7,39.5,85.2,46.4,6,15.7,38.1,16.7,22.3,74.6,11,33.5,44.5,24.8,14.5,9,5.6,4.3,20.3,0,6.5,104.4,97.8,6.6,62.7,1.71,18.3,28.9,67.8,49.3,14.9,49.9,53.5,96.63,55.1
0.622,48.4,95.1,34.7,78.3,44.3,6.7,18.5,36.4,18.9,24.2,78.1,10.7,31.7,42.4,21.1,13.8,6.9,4.6,4.1,22,0,4,104.4,100.1,4.3,60.9,1.53,16.9,30.1,71.3,51.2,15.2,48.6,53.4,90.18,52.7
0.61,48.5,96.8,36.3,81.2,44.7,6,17.1,35.2,18.1,26,69.6,12.7,30.8,43.5,20.8,14.4,7.6,4.3,4.3,21.7,22,3.8,104.4,100.6,3.8,57.4,1.45,16.2,32.7,72.1,51.8,15.5,48.4,52.2,91.59,52
0.573,48.7,97.6,37.2,85,43.7,5.2,14.2,36.9,18.1,24.2,74.7,13.6,30.8,44.5,24.4,13.2,7.3,6.3,5.4,21.3,0.1,2.3,104.4,102,2.3,65.7,1.86,18.2,33.9,70,51.5,14.1,46.8,51,92.22,52.2
0.537,48.6,100.3,37.5,81.4,46.1,4.3,13.1,32.5,21,28.2,74.4,11,30.3,41.3,23.4,14.8,8.5,5.6,5.3,22.7,23.3,0.2,104.4,104.1,0.3,62.4,1.58,17.6,30,68.2,49.4,15.4,48.8,53.5,94.9,51.2
0.537,48.3,97.3,36.9,81.1,45.6,5.7,14.3,39.9,17.7,24.2,73.2,12.2,29.5,41.7,21.9,15.3,8,5,6.2,21.1,0.1,0,104.4,104.2,0.2,59.2,1.43,16.9,32.1,66.8,49.6,16.4,49.1,53,92.69,49.4
0.424,48.4,97.2,36.4,82.1,44.3,7.2,20.9,34.6,17.2,21.6,79.6,11.1,29.5,40.7,20.4,14.2,8,4.9,4.8,19,19.8,-0.6,104.4,105.3,-0.9,56.2,1.44,16.1,30.3,69.1,49.3,15.2,48.8,53.1,92.24,49.4
0.427,48.5,102.1,39.5,86.8,45.5,7.8,22.2,35,15.2,20.1,75.7,10.3,33,43.3,23.6,14.1,8.2,5.1,5.5,20.7,18.3,-1.6,104.4,106,-1.6,59.6,1.67,17.6,27.1,72.6,49.5,14.4,50,53.3,96.68,48.8
0.305,48.5,100,38.3,84.1,45.6,5.9,16.9,34.9,17.4,24,72.6,11.9,30.7,42.6,20.5,15,6.9,4.5,5.7,22.3,20.1,-4.4,104.4,109.1,-4.7,53.4,1.37,15.7,31.5,70,50.4,15.6,49.1,52.8,94.78,46.7
0.293,48.1,103.4,38.2,85.5,44.6,11.2,31,36,15.8,20.2,78.5,9.1,32.8,41.9,23.7,15.5,7.8,4.2,5.5,19.6,20.3,-5.5,104.4,110.1,-5.7,62.2,1.53,17.6,26.3,71.9,48.9,15.7,51.2,54.7,98.76,46.8
0.231,48.4,106.3,38.6,88.2,43.8,10.4,31.3,33.4,18.7,23.2,80.3,10,32.9,42.8,25.6,14.9,8.2,4.6,4.9,20.1,20.1,-8.7,104.4,113,-8.6,66.3,1.72,18.2,25.5,72.2,48.1,14.6,49.7,54,101.04,46.2
0.207,48.5,100.6,36.5,81.5,44.7,7.1,19.4,36.8,20.5,25.7,79.8,10.2,28.9,39.1,19.7,15.4,6.9,4.3,5.2,23.3,21.2,-8.8,104.4,113.4,-9,54.1,1.28,15.3,28.9,66.9,47.7,16,49.1,54.2,95.29,44
0.476,48.3,95.7,36.2,81.3,44.5,5,14,35.6,18.3,24.7,73.9,13.2,30.2,43.4,20.9,14.8,6.2,6.6,5.4,19.8,0.1,-0.5,104.3,104.7,-0.4,57.7,1.41,16.3,34.9,67.3,51.2,16.1,47.6,51.9,91.21,49.5
0.39,48.4,98.5,37.1,85.8,43.2,8.6,24.9,34.4,15.8,22.4,70.3,12.8,32.1,44.9,21.6,13.4,7.6,4.7,4.8,19,19.3,-1,104.3,105.4,-1.1,58.2,1.61,16.4,31.6,71.2,50.5,14.2,48.2,51.5,93.68,47.8
0.402,48.8,97.5,35.4,77.5,45.7,5.8,16.7,34.6,20.9,29.2,71.5,12.6,30.7,43.3,18.7,17.1,6.6,3.2,5,23.6,22.9,-2.9,104.3,107.4,-3.1,52.8,1.09,14.7,33.7,71.4,52.7,18.3,49.4,53.9,91.89,47.1
0.74,48.7,93.3,33.7,72.4,46.5,2.8,7.8,36.1,23.2,30.2,76.7,11.1,30.2,41.3,24.1,16.3,8,5.5,5.3,22.7,0.1,6.5,104.2,96.7,7.4,71.5,1.48,19,32.9,67.7,51.6,18.2,48.5,54.5,88.37,59.1
0.707,48.2,94.5,37,80.1,46.2,4,10.9,36.3,16.6,21.3,78.1,10.7,32.3,42.9,23,12.7,6.8,5.6,3.6,21.1,0.1,5.5,104.2,98.5,5.7,62.3,1.81,18.2,30.3,69.1,50.7,14,48.6,52.8,90.24,55.4
0.671,49,101.7,38.2,85,44.9,5.8,16.5,35.4,19.5,25.3,77.1,12,33,45,22.6,14.9,9.7,5.3,5.8,19.5,0,5.8,104.2,98.5,5.7,59.1,1.52,16.8,30.7,67.9,49.7,15.2,48.4,52.9,95.61,54
0.683,48.4,98.2,36.9,81.4,45.4,4.5,13.6,32.7,19.9,28.7,69.3,12.2,30.9,43.1,23.8,13.8,8.3,4.6,3.8,21.1,0.1,3.9,104.2,100.1,4.1,64.3,1.72,17.9,31.3,70.1,50.6,14.6,48.1,52.2,93.39,53.8
0.606,49,96.6,36.8,81,45.4,7.5,20.2,37,15.5,21,74,9.9,31.3,41.2,22.4,14,8.1,4.6,4.7,17.8,19.1,3.4,104.2,100.4,3.8,61,1.61,17.6,27.9,70.3,49.3,15.1,50,53.5,90.88,52.6
0.61,48.4,95.2,36.4,79.2,46,4.6,14,33,17.7,23.7,74.5,12.1,29,41.1,22.7,15.2,8.8,3.9,4.8,19.9,0.1,2.6,104.2,101.5,2.7,62.3,1.49,17.7,33.8,68.9,51.5,16.7,48.9,53.1,90.44,51.5
0.549,48.1,93.4,34.2,76.5,44.7,6.5,18.1,35.7,18.6,24.7,75.4,10.8,28.1,39,20.9,14.6,8.5,5.8,5.8,23.3,0,2.3,104.2,101.5,2.7,61.2,1.43,16.9,30.8,66.3,48.7,16.3,48.9,53.5,89.65,51.5
0.61,48.5,98.5,39.3,84.3,46.7,3,8.7,34.6,16.8,21.6,78,12.4,30.1,42.5,26.9,13.9,7.6,5.4,4.2,23.3,2.3,2.5,104.2,101.7,2.5,68.4,1.94,19.8,31.8,69.6,50.7,14.7,48.5,52.5,93.37,53.1
0.515,48.7,98.1,37.7,84,44.9,7.2,20.2,35.9,15.4,19.7,78.2,11.7,30.5,42.2,21.3,14.5,7.5,4.8,5.2,20.4,18.4,0.2,104.2,104,0.2,56.4,1.47,16.4,30.9,69.2,49.9,15.4,49.2,52.9,92.82,49.7
0.463,48.1,95.1,35.4,79.2,44.7,7.4,21.7,34.3,17,23.5,72.1,12,31.9,44,19.9,15.3,7.6,6,4.7,19.3,19.6,0.2,104.2,104.1,0.1,56.3,1.3,15.8,33.2,71.5,52.4,16.8,49.4,53.1,91.1,50.7
0.5,48.5,97.6,35.5,77.8,45.7,7.4,20.4,36.3,19.1,26.3,72.7,10,30.8,40.8,23.9,14.8,6.1,3.3,4.5,22.8,23,-0.8,104.2,105.1,-0.9,67.4,1.62,18.5,27.5,71.4,49.6,15.8,50.4,54.6,92.69,49.9
0.476,48.5,102.4,38.8,85.8,45.2,8.5,25,34.1,16.4,21.5,76,10.9,32.2,43.2,20.2,15.1,8.5,4.7,4.1,21.3,20.3,-0.9,104.2,105.3,-1.1,52.2,1.34,15.4,28.1,69.8,48.9,15.4,50.1,53.7,97.2,49.1
0.488,48.2,94.8,35.1,74.3,47.2,4.2,11.7,35.6,20.5,29.2,70.2,11.2,29.5,40.7,18.6,17,6.9,5.1,4.6,23.2,23.4,0.8,104.1,103.3,0.8,53,1.1,15.1,33.3,69.7,51.9,18.6,50,54.4,90.54,50.2
0.451,48.2,99.8,36.6,82.8,44.2,7.1,20.2,35.4,19.4,24.8,78.2,11.1,32.4,43.5,19.6,15.4,7.1,5.6,5.7,21.7,21.4,-1.1,104.1,105,-0.9,53.6,1.28,15.2,29.7,70.3,50.1,16,48.6,53.3,95.5,49.2
0.512,48.5,101.6,38.6,87.4,44.1,7.9,21.4,37.1,16.5,21,78.7,11.1,35.2,46.3,22.8,13.9,6,5.7,5.7,18.8,18.7,-1.5,104.1,105.5,-1.4,59.1,1.64,17,29,71.4,50.6,14.2,48.7,52.6,96.6,49.4
0.598,48.2,98.8,37.1,81.3,45.7,5.9,15.1,38.8,18.6,25.4,73.4,12,31.7,43.7,22.3,16,7.8,5.4,5.3,23.3,23.2,5,104,98.8,5.2,60.1,1.4,17,31.9,70.7,51.4,16.8,49.3,53.4,94.47,53.9
0.561,48.7,97.7,37.2,85.3,43.6,7.9,22.1,35.6,15.4,20.4,75.5,11.8,31.2,43,21.2,13.2,7.1,4.7,5.1,22.2,20.3,1.7,104,101.9,2.1,57,1.6,16.4,29.8,72.6,50.1,14.1,48.2,51.8,92.6,49.5
0.549,48.2,99.1,37.9,84.7,44.7,6.7,19.6,33.9,16.6,23.9,69.5,12.7,30.3,43,22.9,14,8,4.2,5.3,21.7,2.2,1,104,103.1,1,60.4,1.63,17.2,31.2,67.3,49.1,14.8,48.7,52,94.74,49.6
0.561,48.4,94.2,34.5,78.2,44.1,10.2,27,37.5,15.1,22.8,66,11.2,31.2,42.5,20,14.9,6.8,4.2,4.1,17.7,19.8,0.8,104,103.4,0.6,58.1,1.34,16.1,30.6,72,51,16.5,50.6,53.3,89.75,49.3
0.402,48.5,98,36,77.1,46.7,5.7,15.7,36.2,20.3,26.9,75.5,9.9,29.7,39.6,20.9,16.6,7,5.1,4.9,24.8,22.4,-1.5,104,105.6,-1.5,58.1,1.26,16.4,28.9,69.4,49.7,17.6,50.4,55.1,93.27,48.5
0.232,48.1,96.1,36.5,81.2,45,4.8,14.6,33,18.2,23.8,76.7,11.7,28.4,40.1,20,14,7.5,4.5,5.3,20.5,20,-7.5,104,112.1,-8.1,54.8,1.43,15.8,31.3,68.9,49.5,15.1,48,52.4,92.26,44.8
0.207,48.2,104.6,38.2,88.3,43.3,10,29.5,34,18.1,23.9,75.9,10.5,34.3,44.7,20.1,14,6.8,5.1,5.6,20.9,20.8,-9.2,104,112.9,-8.9,52.5,1.43,14.9,26.4,71.7,48.6,14,49,52.9,100.16,44.2
0.732,48.4,95.8,35.5,76.8,46.2,5.5,15.5,35.4,19.4,26.8,72.5,11.5,31.2,42.6,20,15.8,7.7,6.5,5.1,20.4,0,5.4,103.9,98.1,5.8,56.3,1.26,15.9,31.1,68.7,50.8,17.1,49.7,54.1,91.46,54.9
0.659,48.7,93.3,34.8,78.3,44.4,4.4,12.8,34.5,19.4,26.2,73.9,12.9,30.6,43.4,21.8,13.8,7,6.1,4.5,20,0,3.9,103.9,99.6,4.3,62.7,1.58,17.2,34,69.3,51.8,15.4,47.2,51.9,88.59,54.2
0.54,48.2,95.6,35.9,80.1,44.9,5.2,14,37.2,18.5,24.3,76,12,28.4,40.3,25,13.6,8.9,4,4.1,20.4,0.1,2.3,103.9,101.6,2.2,69.5,1.83,19.1,30.6,67.1,48.9,14.8,48.1,52.6,91.54,52.9
0.537,48.5,95.3,34.9,76.9,45.3,5.6,16.2,34.6,20,26.6,75.1,10.5,30.4,40.8,20.2,15.7,7.7,5.4,6.1,19.5,22,1.5,103.9,102,1.9,58,1.29,16.1,31.5,69.8,51,17.2,49,53.8,90.91,51.8
0.573,48.4,97.3,38.4,83.8,45.8,3.9,11,35.7,16.6,21.2,78.5,12.2,30.1,42.3,25.4,13.9,8.3,5.6,4.4,23.2,0.1,1.4,103.9,102.4,1.6,66.2,1.83,19,31.5,68.2,49.8,14.8,48.2,52.3,92.99,51.8
0.39,48.3,98.4,36.9,84,43.9,7.4,21.5,34.6,17.2,21.4,80.5,10.4,34,44.4,20.5,13.4,5.7,5.7,4.2,19.7,18.5,-2.7,103.9,106.7,-2.8,55.7,1.53,16,28,71.8,50.2,14.2,48.3,52.7,94.12,48.7
0.366,48.5,101.5,37.8,87.3,43.3,8,24.8,32.5,17.8,24.3,73.4,12.3,32.4,44.7,21.8,14.2,7.8,4.5,6.1,23,20.7,-3.5,103.9,107.1,-3.3,57.7,1.53,16.2,30.3,70,49.4,14.6,47.9,51.8,96.87,46.5
0.348,48.2,97.8,37.7,82.5,45.7,7.9,20.5,38.8,14.4,18.7,77,9.7,29.5,39.2,22.3,13.9,8,5.5,5,21.4,16.6,-3.4,103.9,107.3,-3.4,59.1,1.61,17.4,25.6,65.8,46,14.7,50.5,53.9,93.78,47.2
0.268,48.3,100.7,37.3,82.2,45.4,7.6,21.7,34.9,18.5,25.6,72.3,10.3,31.3,41.6,19.2,15.3,6.1,4.7,4.9,19.4,22.5,-6.2,103.9,110.2,-6.3,51.4,1.26,14.9,27.7,70.6,48.9,15.7,50,53.9,96.33,45.1
0.317,48.4,97,36.9,82.3,44.9,5.5,16,34.4,17.7,24.1,73.3,12.9,28.8,41.7,21.5,14.8,6.6,4.4,4.9,21.3,21.1,-6.9,103.9,111.1,-7.2,58.2,1.45,16.5,33.2,69.4,50.6,15.8,48.2,52.2,92.61,45.2
