season,away_team,home_team,plus_minus_diff,netrtg_diff,pie_diff,winner
2003,PHILADELPHIA 76ERS,DENVER NUGGETS,-10.6,-11.5,-9.1,0
2003,DETROIT PISTONS,PORTLAND TRAIL BLAZERS,-1.1,-1.5,-1,1
2003,BOSTON CELTICS,MEMPHIS GRIZZLIES,-2.8,-2.9,0.2,0
2003,ORLANDO MAGIC,CHICAGO BULLS,-5.2,-5.1,-2.5,0
2003,PHILADELPHIA 76ERS,SACRAMENTO KINGS,4.2,4,3.5,1
2003,NEW ORLEANS HORNETS,LOS ANGELES CLIPPERS,-6.2,-6.4,-4.7,0
2003,TORONTO RAPTORS,WASHINGTON WIZARDS,4.9,5.2,5.1,0
2003,DENVER NUGGETS,ATLANTA HAWKS,4.7,5.1,5.8,1
2003,HOUSTON ROCKETS,DETROIT PISTONS,2.2,2.7,1.4,1
2003,MILWAUKEE BUCKS,MIAMI HEAT,-5.2,-6.1,-3.9,0
2003,CLEVELAND CAVALIERS,NEW YORK KNICKS,8.2,8.6,4.3,1
2003,NEW JERSEY NETS,DALLAS MAVERICKS,2.6,2.9,0.2,1
2003,PHOENIX SUNS,SAN ANTONIO SPURS,4.3,4.5,5.1,0
2003,MINNESOTA TIMBERWOLVES,SEATTLE SUPERSONICS,-2.2,-2.4,-2.7,1
2003,INDIANA PACERS,GOLDEN STATE WARRIORS,-4.6,-4.8,-4.6,1
2003,NEW YORK KNICKS,BOSTON CELTICS,1,0.7,0.6,1
2003,ATLANTA HAWKS,CLEVELAND CAVALIERS,-6,-6.1,-5.2,0
2003,MILWAUKEE BUCKS,ORLANDO MAGIC,-0.1,-0.3,-1.3,1
2003,HOUSTON ROCKETS,TORONTO RAPTORS,-7.4,-7.8,-6.4,0
2003,LOS ANGELES CLIPPERS,WASHINGTON WIZARDS,3.1,2.9,2.8,1
2003,DENVER NUGGETS,MEMPHIS GRIZZLIES,5.1,5.4,5.7,1
2003,PORTLAND TRAIL BLAZERS,PHOENIX SUNS,-1.5,-1.4,-1.7,1
2003,MINNESOTA TIMBERWOLVES,SACRAMENTO KINGS,4.4,4.4,2.2,1
2003,SEATTLE SUPERSONICS,UTAH JAZZ,2.5,2.8,4.9,1
2003,INDIANA PACERS,LOS ANGELES LAKERS,-1.2,-1.3,-1.8,1
2003,NEW JERSEY NETS,SAN ANTONIO SPURS,0.2,0.4,0.5,1
2003,GOLDEN STATE WARRIORS,CHICAGO BULLS,-4,-3.8,-3.5,1
2003,PHILADELPHIA 76ERS,PORTLAND TRAIL BLAZERS,0.3,0.1,-0.1,0
2003,NEW YORK KNICKS,ORLANDO MAGIC,1.5,1.3,0.8,0
2003,MILWAUKEE BUCKS,WASHINGTON WIZARDS,-1.2,-1.4,0.3,0
2003,LOS ANGELES CLIPPERS,BOSTON CELTICS,3.7,3.4,1,1
2003,DALLAS MAVERICKS,MIAMI HEAT,-12.8,-14.1,-9,0
2003,CLEVELAND CAVALIERS,NEW ORLEANS HORNETS,11.7,12.3,8.6,1
2003,SACRAMENTO KINGS,UTAH JAZZ,-4.1,-4,0,0
2003,MINNESOTA TIMBERWOLVES,LOS ANGELES LAKERS,0.2,0,-0.9,1
2003,PHILADELPHIA 76ERS,SEATTLE SUPERSONICS,-2.4,-2.8,-1.4,0
2003,TORONTO RAPTORS,ATLANTA HAWKS,2.3,2.5,3.6,0
2003,MEMPHIS GRIZZLIES,CLEVELAND CAVALIERS,-6.4,-6.4,-5.1,0
2003,DENVER NUGGETS,MIAMI HEAT,3.3,3.1,3.1,0
2003,LOS ANGELES CLIPPERS,CHICAGO BULLS,-1,-1.1,-1.3,0
2003,UTAH JAZZ,DALLAS MAVERICKS,5.4,5.7,-0.5,1
2003,NEW JERSEY NETS,HOUSTON ROCKETS,-3.7,-3.9,-3.3,1
2003,GOLDEN STATE WARRIORS,MILWAUKEE BUCKS,1.3,1.6,0.3,1
2003,INDIANA PACERS,PORTLAND TRAIL BLAZERS,-0.9,-0.8,-2.3,1
2003,WASHINGTON WIZARDS,NEW YORK KNICKS,-0.4,-0.2,-2.4,1
2003,PHILADELPHIA 76ERS,LOS ANGELES LAKERS,0,-0.4,0.4,1
2003,SAN ANTONIO SPURS,BOSTON CELTICS,-5.8,-6.4,-6.9,0
2003,GOLDEN STATE WARRIORS,DETROIT PISTONS,4.8,5.5,3.3,1
2003,DENVER NUGGETS,ORLANDO MAGIC,8.4,8.9,5.7,1
2003,MEMPHIS GRIZZLIES,TORONTO RAPTORS,-2.7,-2.8,-3.5,0
2003,NEW JERSEY NETS,NEW ORLEANS HORNETS,-3.1,-3,-2.7,0
2003,MINNESOTA TIMBERWOLVES,PHOENIX SUNS,-1,-0.9,-3.1,0
2003,INDIANA PACERS,SACRAMENTO KINGS,3,3.1,1.3,1
2003,LOS ANGELES CLIPPERS,ATLANTA HAWKS,0.5,0.2,1.3,1
2003,UTAH JAZZ,MIAMI HEAT,-7.4,-8.4,-9.5,0
2003,MINNESOTA TIMBERWOLVES,DALLAS MAVERICKS,5.7,6.1,1.7,0
2003,MIAMI HEAT,CLEVELAND CAVALIERS,-4.6,-4.1,-2.5,0
2003,NEW ORLEANS HORNETS,INDIANA PACERS,1.4,1.1,2.1,0
2003,ORLANDO MAGIC,WASHINGTON WIZARDS,-1.1,-1.1,1.6,1
2003,MEMPHIS GRIZZLIES,NEW YORK KNICKS,1.8,2.2,-0.8,0
2003,SAN ANTONIO SPURS,MILWAUKEE BUCKS,-5.2,-5.5,-5.4,0
2003,LOS ANGELES LAKERS,CHICAGO BULLS,-7.4,-7.3,-6.3,1
2003,TORONTO RAPTORS,DENVER NUGGETS,-2.4,-2.6,-2.2,1
2003,PORTLAND TRAIL BLAZERS,SEATTLE SUPERSONICS,-2.7,-2.9,-1.3,0
2003,PHOENIX SUNS,GOLDEN STATE WARRIORS,-2.2,-2.6,-0.6,1
2003,NEW ORLEANS HORNETS,BOSTON CELTICS,-2.5,-3,-3.7,1
2003,UTAH JAZZ,ORLANDO MAGIC,-2.3,-2.6,-6.9,0
2003,INDIANA PACERS,PHILADELPHIA 76ERS,-1.2,-0.9,-2.2,1
2003,MILWAUKEE BUCKS,ATLANTA HAWKS,-3.8,-4.1,-1.2,1
2003,LOS ANGELES LAKERS,DETROIT PISTONS,1.4,2,0.5,1
2003,CHICAGO BULLS,MEMPHIS GRIZZLIES,1.9,1.6,2.5,1
2003,SAN ANTONIO SPURS,MINNESOTA TIMBERWOLVES,-3.3,-3.6,-2,0
2003,LOS ANGELES CLIPPERS,HOUSTON ROCKETS,5.6,5.5,4.1,1
2003,TORONTO RAPTORS,PORTLAND TRAIL BLAZERS,8.5,9,6.8,1
2003,BOSTON CELTICS,NEW JERSEY NETS,5.6,6,6.4,1
2003,SACRAMENTO KINGS,PHOENIX SUNS,-5.4,-5.3,-5.3,1
2003,DALLAS MAVERICKS,SEATTLE SUPERSONICS,-7.9,-8.5,-4.4,1
2003,UTAH JAZZ,INDIANA PACERS,1.1,0.9,-1.3,1
2003,PORTLAND TRAIL BLAZERS,PHILADELPHIA 76ERS,-0.3,-0.1,0.1,1
2003,NEW YORK KNICKS,ATLANTA HAWKS,-2.2,-2.5,0.9,1
2003,WASHINGTON WIZARDS,DETROIT PISTONS,4.7,5.3,2.7,1
2003,NEW ORLEANS HORNETS,MIAMI HEAT,-7.1,-8.2,-6.1,0
2003,LOS ANGELES LAKERS,MINNESOTA TIMBERWOLVES,-0.2,0,0.9,0
2003,CHICAGO BULLS,HOUSTON ROCKETS,6.6,6.6,5.4,1
2003,LOS ANGELES CLIPPERS,SAN ANTONIO SPURS,9.5,9.8,7.9,1
2003,TORONTO RAPTORS,SACRAMENTO KINGS,12.4,12.9,10.4,1
2003,DALLAS MAVERICKS,GOLDEN STATE WARRIORS,-8.9,-9.6,-5.4,0
2003,NEW ORLEANS HORNETS,ORLANDO MAGIC,-2,-2.4,-3.5,1
2003,MIAMI HEAT,WASHINGTON WIZARDS,4,4.7,4.2,1
2003,BOSTON CELTICS,DETROIT PISTONS,4.1,4.8,4.5,0
2003,LOS ANGELES LAKERS,MILWAUKEE BUCKS,-2.1,-1.9,-2.5,0
2003,GOLDEN STATE WARRIORS,SEATTLE SUPERSONICS,1,1.1,1,0
2003,UTAH JAZZ,CLEVELAND CAVALIERS,-12,-12.5,-12,1
2003,PHILADELPHIA 76ERS,NEW JERSEY NETS,2.9,2.8,2.8,0
2003,PORTLAND TRAIL BLAZERS,MINNESOTA TIMBERWOLVES,-0.5,-0.5,1.4,1
2003,DALLAS MAVERICKS,SACRAMENTO KINGS,-1.3,-1.7,0.5,0
2003,ATLANTA HAWKS,MEMPHIS GRIZZLIES,0.4,0.3,-0.1,1
2003,MILWAUKEE BUCKS,NEW YORK KNICKS,-1.6,-1.6,-2.1,1
2003,CHICAGO BULLS,SAN ANTONIO SPURS,10.5,10.9,9.2,1
2003,PHOENIX SUNS,HOUSTON ROCKETS,0.4,0.2,1.3,1
2003,SEATTLE SUPERSONICS,DENVER NUGGETS,-8.2,-8.7,-7.7,0
2003,TORONTO RAPTORS,LOS ANGELES CLIPPERS,1.8,2.3,2.3,1
2003,PORTLAND TRAIL BLAZERS,INDIANA PACERS,0.9,0.8,2.3,0
2003,TORONTO RAPTORS,PHOENIX SUNS,7,7.6,5.1,1
2003,LOS ANGELES LAKERS,LOS ANGELES CLIPPERS,-6.4,-6.2,-5,0
2003,NEW JERSEY NETS,BOSTON CELTICS,-5.6,-6,-6.4,0
2003,DETROIT PISTONS,WASHINGTON WIZARDS,-4.7,-5.3,-2.7,0
2003,PHILADELPHIA 76ERS,MIAMI HEAT,-7.3,-8.4,-6,0
2003,MEMPHIS GRIZZLIES,MINNESOTA TIMBERWOLVES,5.3,5.7,4.7,1
2003,ATLANTA HAWKS,CHICAGO BULLS,-1.5,-1.3,-2.6,1
2003,CLEVELAND CAVALIERS,DALLAS MAVERICKS,17.4,18.2,11.5,1
2003,NEW YORK KNICKS,SAN ANTONIO SPURS,6.8,7.1,7.5,0
2003,DENVER NUGGETS,UTAH JAZZ,10.7,11.5,12.6,1
2003,GOLDEN STATE WARRIORS,SACRAMENTO KINGS,7.6,7.9,5.9,1
2003,HOUSTON ROCKETS,SEATTLE SUPERSONICS,-1.6,-1.7,-0.9,1
2003,BOSTON CELTICS,INDIANA PACERS,3.9,4.1,5.8,1
2003,MIAMI HEAT,ORLANDO MAGIC,5.1,5.8,2.6,1
2003,ATLANTA HAWKS,TORONTO RAPTORS,-2.3,-2.5,-3.6,1
2003,MILWAUKEE BUCKS,NEW JERSEY NETS,5,5.1,4.9,0
2003,CLEVELAND CAVALIERS,MEMPHIS GRIZZLIES,6.4,6.4,5.1,1
2003,NEW YORK KNICKS,NEW ORLEANS HORNETS,3.5,3.7,4.3,1
2003,UTAH JAZZ,PHOENIX SUNS,-1.3,-1.3,-5.3,0
2003,HOUSTON ROCKETS,PORTLAND TRAIL BLAZERS,1.1,1.2,0.4,1
2003,SEATTLE SUPERSONICS,GOLDEN STATE WARRIORS,-1,-1.1,-1,1
2003,DENVER NUGGETS,LOS ANGELES CLIPPERS,4.2,4.9,4.5,1
2003,PHILADELPHIA 76ERS,DETROIT PISTONS,1.4,1.6,0.9,1
2003,SAN ANTONIO SPURS,DALLAS MAVERICKS,2.4,2.5,-0.3,0
2003,LOS ANGELES LAKERS,SACRAMENTO KINGS,4.2,4.4,3.1,1
2003,MEMPHIS GRIZZLIES,INDIANA PACERS,6.7,7,5.6,1
2003,CLEVELAND CAVALIERS,ORLANDO MAGIC,9.7,9.9,5.1,1
2003,ATLANTA HAWKS,PHILADELPHIA 76ERS,5.9,6.4,3.3,0
2003,TORONTO RAPTORS,MIAMI HEAT,0.9,0.5,0.9,1
2003,DETROIT PISTONS,NEW YORK KNICKS,-5.1,-5.5,-5.1,1
2003,MINNESOTA TIMBERWOLVES,SAN ANTONIO SPURS,3.3,3.6,2,0
2003,MILWAUKEE BUCKS,NEW ORLEANS HORNETS,1.9,2.1,2.2,1
2003,DENVER NUGGETS,SEATTLE SUPERSONICS,8.2,8.7,7.7,1
2003,HOUSTON ROCKETS,GOLDEN STATE WARRIORS,-2.6,-2.8,-1.9,0
2003,BOSTON CELTICS,LOS ANGELES LAKERS,2.7,2.8,4,1
2003,WASHINGTON WIZARDS,PHOENIX SUNS,2.1,2.4,0,1
2003,INDIANA PACERS,ATLANTA HAWKS,-7.1,-7.3,-5.5,1
2003,MEMPHIS GRIZZLIES,NEW JERSEY NETS,8.4,8.9,6.2,1
2003,NEW YORK KNICKS,CHICAGO BULLS,-3.7,-3.8,-1.7,1
2003,PHOENIX SUNS,DALLAS MAVERICKS,6.7,7,4.8,1
2003,NEW ORLEANS HORNETS,MILWAUKEE BUCKS,-1.9,-2.1,-2.2,1
2003,LOS ANGELES CLIPPERS,UTAH JAZZ,6.5,6.6,8.1,1
2003,BOSTON CELTICS,DENVER NUGGETS,-7.9,-8.3,-5.5,1
2003,SACRAMENTO KINGS,PORTLAND TRAIL BLAZERS,-3.9,-3.9,-3.6,0
2003,LOS ANGELES LAKERS,SAN ANTONIO SPURS,3.1,3.6,2.9,1
2003,PHILADELPHIA 76ERS,TORONTO RAPTORS,-8.2,-8.9,-6.9,0
2003,CHICAGO BULLS,DETROIT PISTONS,8.8,9.3,6.8,1
2003,ORLANDO MAGIC,MIAMI HEAT,-5.1,-5.8,-2.6,0
2003,NEW JERSEY NETS,CLEVELAND CAVALIERS,-14.8,-15.3,-11.3,1
2003,WASHINGTON WIZARDS,GOLDEN STATE WARRIORS,-0.1,-0.2,-0.6,1
2003,HOUSTON ROCKETS,SACRAMENTO KINGS,5,5.1,4,1
2003,MEMPHIS GRIZZLIES,ORLANDO MAGIC,3.3,3.5,0,0
2003,TORONTO RAPTORS,NEW YORK KNICKS,4.5,5,2.7,1
2003,DALLAS MAVERICKS,DENVER NUGGETS,-16.1,-17.2,-12.1,0
2003,SEATTLE SUPERSONICS,PHOENIX SUNS,1.2,1.5,-0.4,0
2003,BOSTON CELTICS,UTAH JAZZ,2.8,3.2,7.1,1
2003,HOUSTON ROCKETS,LOS ANGELES CLIPPERS,-5.6,-5.5,-4.1,0
2003,GOLDEN STATE WARRIORS,CLEVELAND CAVALIERS,-8.5,-8.6,-6.1,1
2003,LOS ANGELES LAKERS,ATLANTA HAWKS,-5.9,-6,-3.7,0
2003,MIAMI HEAT,MINNESOTA TIMBERWOLVES,7.1,8,7.3,1
2003,MILWAUKEE BUCKS,SAN ANTONIO SPURS,5.2,5.5,5.4,1
2003,WASHINGTON WIZARDS,PORTLAND TRAIL BLAZERS,3.6,3.8,1.7,0
2003,GOLDEN STATE WARRIORS,BOSTON CELTICS,0.7,0.7,-1.2,0
2003,PHILADELPHIA 76ERS,INDIANA PACERS,1.2,0.9,2.2,0
2003,CLEVELAND CAVALIERS,TORONTO RAPTORS,3.7,3.6,1.6,1
2003,ATLANTA HAWKS,DETROIT PISTONS,7.3,8,4.2,1
2003,NEW YORK KNICKS,NEW JERSEY NETS,6.6,6.7,7,1
2003,PHOENIX SUNS,MEMPHIS GRIZZLIES,-4.3,-4.8,-1.6,0
2003,MIAMI HEAT,CHICAGO BULLS,-0.1,0.7,0.1,1
2003,MILWAUKEE BUCKS,DENVER NUGGETS,-8.5,-9.2,-7,1
2003,LOS ANGELES LAKERS,HOUSTON ROCKETS,-0.8,-0.7,-0.9,0
2003,ORLANDO MAGIC,NEW ORLEANS HORNETS,2,2.4,3.5,0
2003,PORTLAND TRAIL BLAZERS,UTAH JAZZ,-0.2,-0.1,3.6,1
2003,WASHINGTON WIZARDS,SEATTLE SUPERSONICS,0.9,0.9,0.4,0
2003,DALLAS MAVERICKS,LOS ANGELES CLIPPERS,-11.9,-12.3,-7.6,0
2003,MINNESOTA TIMBERWOLVES,ORLANDO MAGIC,-2,-2.2,-4.7,1
2003,HOUSTON ROCKETS,SAN ANTONIO SPURS,3.9,4.3,3.8,1
2003,LOS ANGELES CLIPPERS,SACRAMENTO KINGS,10.6,10.6,8.1,1
2003,CHICAGO BULLS,INDIANA PACERS,8.6,8.6,8.1,1
2003,GOLDEN STATE WARRIORS,PHILADELPHIA 76ERS,3.4,3.9,2.4,0
2003,NEW ORLEANS HORNETS,TORONTO RAPTORS,-8,-8.7,-7,0
2003,CLEVELAND CAVALIERS,BOSTON CELTICS,9.2,9.3,4.9,1
2003,PHOENIX SUNS,DETROIT PISTONS,2.6,2.9,2.7,0
2003,MINNESOTA TIMBERWOLVES,MIAMI HEAT,-7.1,-8,-7.3,1
2003,NEW JERSEY NETS,NEW YORK KNICKS,-6.6,-6.7,-7,0
2003,MILWAUKEE BUCKS,UTAH JAZZ,2.2,2.3,5.6,1
2003,MEMPHIS GRIZZLIES,SEATTLE SUPERSONICS,3.1,3.3,2,1
2003,WASHINGTON WIZARDS,LOS ANGELES LAKERS,3.3,3.3,2.2,1
2003,DALLAS MAVERICKS,PORTLAND TRAIL BLAZERS,-5.2,-5.6,-3.1,1
2003,PHILADELPHIA 76ERS,ATLANTA HAWKS,-5.9,-6.4,-3.3,0
2003,BOSTON CELTICS,CLEVELAND CAVALIERS,-9.2,-9.3,-4.9,0
2003,GOLDEN STATE WARRIORS,NEW JERSEY NETS,6.3,6.7,5.2,1
2003,SACRAMENTO KINGS,CHICAGO BULLS,-11.6,-11.7,-9.4,0
2003,DENVER NUGGETS,HOUSTON ROCKETS,9.8,10.4,8.6,1
2003,UTAH JAZZ,SAN ANTONIO SPURS,3,3.2,-0.2,1
2003,DALLAS MAVERICKS,MINNESOTA TIMBERWOLVES,-5.7,-6.1,-1.7,0
2003,NEW YORK KNICKS,TORONTO RAPTORS,-4.5,-5,-2.7,1
2003,PHOENIX SUNS,INDIANA PACERS,2.4,2.2,4,1
2003,MIAMI HEAT,MILWAUKEE BUCKS,5.2,6.1,3.9,1
2003,SACRAMENTO KINGS,DETROIT PISTONS,-2.8,-2.4,-2.6,1
2003,SAN ANTONIO SPURS,NEW ORLEANS HORNETS,-3.3,-3.4,-3.2,0
2003,WASHINGTON WIZARDS,DENVER NUGGETS,-7.3,-7.8,-7.3,1
2003,MEMPHIS GRIZZLIES,LOS ANGELES CLIPPERS,-0.9,-0.5,-1.2,1
2003,LOS ANGELES LAKERS,SEATTLE SUPERSONICS,-2.4,-2.4,-1.8,1
2003,PHILADELPHIA 76ERS,ORLANDO MAGIC,-2.2,-2.6,-3.4,0
2003,MILWAUKEE BUCKS,MIAMI HEAT,-5.2,-6.1,-3.9,0
2003,HOUSTON ROCKETS,NEW JERSEY NETS,3.7,3.9,3.3,1
2003,MEMPHIS GRIZZLIES,LOS ANGELES LAKERS,5.5,5.7,3.8,1
2003,SACRAMENTO KINGS,INDIANA PACERS,-3,-3.1,-1.3,0
2003,DETROIT PISTONS,TORONTO RAPTORS,-9.6,-10.5,-7.8,0
2003,SEATTLE SUPERSONICS,CHICAGO BULLS,-5,-4.9,-4.5,0
2003,NEW ORLEANS HORNETS,DALLAS MAVERICKS,5.7,5.9,2.9,1
2003,ORLANDO MAGIC,SAN ANTONIO SPURS,5.3,5.8,6.7,1
2003,DENVER NUGGETS,PHOENIX SUNS,9.4,10.2,7.3,1
2003,GOLDEN STATE WARRIORS,PORTLAND TRAIL BLAZERS,3.7,4,2.3,1
2003,UTAH JAZZ,LOS ANGELES CLIPPERS,-6.5,-6.6,-8.1,0
2003,MIAMI HEAT,BOSTON CELTICS,4.6,5.2,2.4,1
2003,INDIANA PACERS,CLEVELAND CAVALIERS,-13.1,-13.4,-10.7,0
2003,CHICAGO BULLS,PHILADELPHIA 76ERS,7.4,7.7,5.9,1
2003,TORONTO RAPTORS,DETROIT PISTONS,9.6,10.5,7.8,0
2003,SAN ANTONIO SPURS,MEMPHIS GRIZZLIES,-8.6,-9.3,-6.7,0
2003,HOUSTON ROCKETS,MILWAUKEE BUCKS,-1.3,-1.2,-1.6,1
2003,SEATTLE SUPERSONICS,MINNESOTA TIMBERWOLVES,2.2,2.4,2.7,1
2003,SACRAMENTO KINGS,WASHINGTON WIZARDS,-7.5,-7.7,-5.3,0
2003,NEW JERSEY NETS,NEW ORLEANS HORNETS,-3.1,-3,-2.7,1
2003,NEW YORK KNICKS,DENVER NUGGETS,-6.9,-7.6,-4.9,0
2003,WASHINGTON WIZARDS,ATLANTA HAWKS,-2.6,-2.7,-1.5,1
2003,LOS ANGELES LAKERS,DALLAS MAVERICKS,5.5,6.1,2.6,0
2003,UTAH JAZZ,PORTLAND TRAIL BLAZERS,0.2,0.1,-3.6,0
2003,HOUSTON ROCKETS,PHILADELPHIA 76ERS,0.8,1.1,0.5,0
2003,SAN ANTONIO SPURS,TORONTO RAPTORS,-11.3,-12.1,-10.2,0
2003,MIAMI HEAT,NEW JERSEY NETS,10.2,11.2,8.8,1
2003,SACRAMENTO KINGS,BOSTON CELTICS,-6.9,-7.2,-7.1,0
2003,INDIANA PACERS,DETROIT PISTONS,0.2,0.7,-1.3,0
2003,LOS ANGELES LAKERS,MEMPHIS GRIZZLIES,-5.5,-5.7,-3.8,0
2003,CLEVELAND CAVALIERS,MILWAUKEE BUCKS,9.8,10.2,6.4,1
2003,NEW YORK KNICKS,UTAH JAZZ,3.8,3.9,7.7,0
2003,PORTLAND TRAIL BLAZERS,GOLDEN STATE WARRIORS,-3.7,-4,-2.3,0
2003,LOS ANGELES CLIPPERS,SEATTLE SUPERSONICS,4,3.8,3.2,1
2003,MINNESOTA TIMBERWOLVES,PHOENIX SUNS,-1,-0.9,-3.1,1
2003,MEMPHIS GRIZZLIES,ATLANTA HAWKS,-0.4,-0.3,0.1,1
2003,NEW ORLEANS HORNETS,CLEVELAND CAVALIERS,-11.7,-12.3,-8.6,1
2003,MILWAUKEE BUCKS,CHICAGO BULLS,-5.3,-5.4,-3.8,1
2003,ORLANDO MAGIC,DALLAS MAVERICKS,7.7,8.3,6.4,1
2003,NEW YORK KNICKS,LOS ANGELES CLIPPERS,-2.7,-2.7,-0.4,1
2003,WASHINGTON WIZARDS,BOSTON CELTICS,0.6,0.5,-1.8,0
2003,NEW JERSEY NETS,TORONTO RAPTORS,-11.1,-11.7,-9.7,0
2003,SACRAMENTO KINGS,PHILADELPHIA 76ERS,-4.2,-4,-3.5,0
2003,MIAMI HEAT,INDIANA PACERS,8.5,9.3,8.2,1
2003,SAN ANTONIO SPURS,DETROIT PISTONS,-1.7,-1.6,-2.4,0
2003,DENVER NUGGETS,GOLDEN STATE WARRIORS,7.2,7.6,6.7,1
2003,ORLANDO MAGIC,HOUSTON ROCKETS,1.4,1.5,2.9,1
2003,MINNESOTA TIMBERWOLVES,PORTLAND TRAIL BLAZERS,0.5,0.5,-1.4,0
2003,UTAH JAZZ,SEATTLE SUPERSONICS,-2.5,-2.8,-4.9,1
2003,PHOENIX SUNS,LOS ANGELES LAKERS,1.2,0.9,2.2,1
2003,WASHINGTON WIZARDS,CLEVELAND CAVALIERS,-8.6,-8.8,-6.7,0
2003,DETROIT PISTONS,PHILADELPHIA 76ERS,-1.4,-1.6,-0.9,1
2003,TORONTO RAPTORS,MIAMI HEAT,0.9,0.5,0.9,1
2003,ATLANTA HAWKS,NEW YORK KNICKS,2.2,2.5,-0.9,1
2003,LOS ANGELES CLIPPERS,MEMPHIS GRIZZLIES,0.9,0.5,1.2,1
2003,INDIANA PACERS,CHICAGO BULLS,-8.6,-8.6,-8.1,1
2003,PORTLAND TRAIL BLAZERS,HOUSTON ROCKETS,-1.1,-1.2,-0.4,0
2003,PHOENIX SUNS,DENVER NUGGETS,-9.4,-10.2,-7.3,0
2003,SEATTLE SUPERSONICS,SACRAMENTO KINGS,6.6,6.8,4.9,1
2003,UTAH JAZZ,GOLDEN STATE WARRIORS,-3.5,-3.9,-5.9,1
2003,DALLAS MAVERICKS,LOS ANGELES LAKERS,-5.5,-6.1,-2.6,1
2003,TORONTO RAPTORS,ORLANDO MAGIC,6,6.3,3.5,1
2003,BOSTON CELTICS,WASHINGTON WIZARDS,-0.6,-0.5,1.8,0
2003,NEW JERSEY NETS,ATLANTA HAWKS,-8.8,-9.2,-6.1,1
2003,CHICAGO BULLS,DETROIT PISTONS,8.8,9.3,6.8,1
2003,LOS ANGELES CLIPPERS,MILWAUKEE BUCKS,4.3,4.3,2.5,1
2003,CLEVELAND CAVALIERS,NEW ORLEANS HORNETS,11.7,12.3,8.6,1
2003,PORTLAND TRAIL BLAZERS,SAN ANTONIO SPURS,2.8,3.1,3.4,1
2003,HOUSTON ROCKETS,UTAH JAZZ,0.9,1.1,4,1
2003,DALLAS MAVERICKS,PHOENIX SUNS,-6.7,-7,-4.8,1
2003,MINNESOTA TIMBERWOLVES,SEATTLE SUPERSONICS,-2.2,-2.4,-2.7,1
2003,PHILADELPHIA 76ERS,BOSTON CELTICS,-2.7,-3.2,-3.6,0
2003,SACRAMENTO KINGS,LOS ANGELES LAKERS,-4.2,-4.4,-3.1,1
2003,MILWAUKEE BUCKS,TORONTO RAPTORS,-6.1,-6.6,-4.8,0
2003,CLEVELAND CAVALIERS,ATLANTA HAWKS,6,6.1,5.2,1
2003,ORLANDO MAGIC,INDIANA PACERS,3.4,3.5,5.6,0
2003,PORTLAND TRAIL BLAZERS,MEMPHIS GRIZZLIES,-5.8,-6.2,-3.3,1
2003,WASHINGTON WIZARDS,MIAMI HEAT,-4,-4.7,-4.2,0
2003,LOS ANGELES CLIPPERS,MINNESOTA TIMBERWOLVES,6.2,6.2,5.9,1
2003,PHILADELPHIA 76ERS,NEW YORK KNICKS,-3.7,-3.9,-4.2,1
2003,NEW JERSEY NETS,CHICAGO BULLS,-10.3,-10.5,-8.7,1
2003,DETROIT PISTONS,NEW ORLEANS HORNETS,-1.6,-1.8,-0.8,1
2003,SEATTLE SUPERSONICS,SAN ANTONIO SPURS,5.5,6,4.7,1
2003,DALLAS MAVERICKS,UTAH JAZZ,-5.4,-5.7,0.5,1
2003,GOLDEN STATE WARRIORS,PHOENIX SUNS,2.2,2.6,0.6,1
2003,DENVER NUGGETS,SACRAMENTO KINGS,14.8,15.5,12.6,1
2003,BOSTON CELTICS,ORLANDO MAGIC,0.5,0.6,0.2,1
2003,ATLANTA HAWKS,WASHINGTON WIZARDS,2.6,2.7,1.5,0
2003,NEW YORK KNICKS,CLEVELAND CAVALIERS,-8.2,-8.6,-4.3,1
2003,TORONTO RAPTORS,NEW JERSEY NETS,11.1,11.7,9.7,1
2003,GOLDEN STATE WARRIORS,DALLAS MAVERICKS,8.9,9.6,5.4,1
2003,SEATTLE SUPERSONICS,HOUSTON ROCKETS,1.6,1.7,0.9,1
2003,LOS ANGELES CLIPPERS,DENVER NUGGETS,-4.2,-4.9,-4.5,0
2003,INDIANA PACERS,MILWAUKEE BUCKS,-3.3,-3.2,-4.3,1
2003,CHICAGO BULLS,MINNESOTA TIMBERWOLVES,7.2,7.3,7.2,1
2003,LOS ANGELES LAKERS,PORTLAND TRAIL BLAZERS,0.3,0.5,-0.5,1
2003,DETROIT PISTONS,MEMPHIS GRIZZLIES,-6.9,-7.7,-4.3,0
2003,BOSTON CELTICS,MIAMI HEAT,-4.6,-5.2,-2.4,0
2003,NEW ORLEANS HORNETS,PHILADELPHIA 76ERS,0.2,0.2,-0.1,0
2003,SAN ANTONIO SPURS,PHOENIX SUNS,-4.3,-4.5,-5.1,1
2003,NEW YORK KNICKS,WASHINGTON WIZARDS,0.4,0.2,2.4,0
2003,ORLANDO MAGIC,ATLANTA HAWKS,-3.7,-3.8,0.1,1
2003,CLEVELAND CAVALIERS,DETROIT PISTONS,13.3,14.1,9.4,1
2003,NEW ORLEANS HORNETS,NEW JERSEY NETS,3.1,3,2.7,0
2003,SEATTLE SUPERSONICS,DALLAS MAVERICKS,7.9,8.5,4.4,1
